URL,popularity,song_title,year
http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,10,It's The End Of The World Lyrics,2008
http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,9,Losing My Religion Lyrics,2003
http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,9,The One I Love Lyrics,2008
http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,7,Selingkar Kasih Lyrics,2010
http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,7,Man On The Moon Lyrics,2003
http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,7,The Sidewinder Sleeps Tonight Lyrics,2006
http://www.metrolyrics.com/nightswimming-lyrics-rem.html,6,Nightswimming Lyrics,2003
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,6,Everybody Hurts Lyrics,2003
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,6,Fall On Me Lyrics,2011
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,5,Orange Crush Lyrics,2003
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,5,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,2014
http://www.metrolyrics.com/whats-the-frequency-kenneth-lyrics-rem.html,5,"What's The Frequency, Kenneth? Lyrics",2003
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,5,Everbody Hurts Lyrics,2006
http://www.metrolyrics.com/radio-free-europe-lyrics-rem.html,5,Radio Free Europe Lyrics,2011
http://www.metrolyrics.com/drive-lyrics-rem.html,4,Drive Lyrics,2006
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,4,Find The River Lyrics,2014
http://www.metrolyrics.com/shiny-happy-people-lyrics-rem.html,4,Shiny Happy People Lyrics,2011
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,4,Future 40's (string Of Pearls) Lyrics,2006
http://www.metrolyrics.com/uberlin-lyrics-rem.html,4,Uberlin Lyrics,2011
http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,3,Imitation Of Life Lyrics,2003
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,3,It's The End of The World as We Know It Lyrics,2008
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,3,Crush With Eyeliner Lyrics,2006
http://www.metrolyrics.com/these-days-lyrics-rem.html,3,These Days Lyrics,2006
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,3,E-bow The Letter Lyrics,2003
http://www.metrolyrics.com/ignoreland-lyrics-rem.html,3,Ignoreland Lyrics,2006
http://www.metrolyrics.com/the-sidewinder-sleeps-tonite-lyrics-rem.html,3,The Sidewinder Sleeps Tonite Lyrics,2003
http://www.metrolyrics.com/strange-currencies-lyrics-rem.html,3,Strange Currencies Lyrics,2006
http://www.metrolyrics.com/bad-day-lyrics-rem.html,3,Bad Day Lyrics,2003
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,3,Daysleeper Lyrics,2003
http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,3,Leaving New York Lyrics,2004
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,3,Country Feedback Lyrics,2011
http://www.metrolyrics.com/stand-lyrics-rem.html,3,Stand Lyrics,2003
http://www.metrolyrics.com/shaking-through-lyrics-rem.html,3,Shaking Through Lyrics,2006
http://www.metrolyrics.com/electrolite-lyrics-rem.html,2,Electrolite Lyrics,2003
http://www.metrolyrics.com/let-me-in-lyrics-rem.html,2,Let Me In Lyrics,2006
http://www.metrolyrics.com/crazy-lyrics-rem.html,2,Crazy Lyrics,2006
http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,2,Bang And Blame Lyrics,2006
http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,2,Love Is All Around Lyrics,2014
http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,2,Living Well Is The Best Revenge Lyrics,2008
http://www.metrolyrics.com/superman-lyrics-rem.html,2,Superman Lyrics,2006
http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,2,Bittersweet Me Lyrics,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,2,Driver 8 Lyrics,2011
http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,2,Begin The Begin Lyrics,2011
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,2,Hollow Man Lyrics,2008
http://www.metrolyrics.com/pop-song-89-lyrics-rem.html,2,Pop Song 89 Lyrics,2011
http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,2,Me In Honey Lyrics,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,2,Gardening At Night Lyrics,2011
http://www.metrolyrics.com/strange-wire-lyrics-rem.html,2,Strange (wire) Lyrics,2008
http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,2,Beat A Drum Lyrics,2014
http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,2,Horse To Water Lyrics,2008
http://www.metrolyrics.com/fretless-lyrics-rem.html,2,Fretless Lyrics,2014
http://www.metrolyrics.com/try-not-to-breathe-lyrics-rem.html,2,Try Not To Breathe Lyrics,2006
http://www.metrolyrics.com/sweetness-follows-lyrics-rem.html,2,Sweetness Follows Lyrics,2006
http://www.metrolyrics.com/i-believe-lyrics-rem.html,2,I Believe Lyrics,2006
http://www.metrolyrics.com/talk-about-the-passion-lyrics-rem.html,2,Talk About The Passion Lyrics,2011
http://www.metrolyrics.com/turn-you-insideout-lyrics-rem.html,2,Turn You Inside-out Lyrics,2006
http://www.metrolyrics.com/mrrichards-lyrics-rem.html,1,Mr. Richards Lyrics,2008
http://www.metrolyrics.com/until-the-day-is-done-lyrics-rem.html,1,Until The Day Is Done Lyrics,2008
http://www.metrolyrics.com/radio-song-lyrics-rem.html,1,Radio Song Lyrics,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,1,Finest Worksong Lyrics,2008
http://www.metrolyrics.com/hyena-lyrics-rem.html,1,Hyena Lyrics,2006
http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,1,All The Right Friends Lyrics,2003
http://www.metrolyrics.com/walk-unafraid-lyrics-rem.html,1,Walk Unafraid Lyrics,2006
http://www.metrolyrics.com/so-central-rain-lyrics-rem.html,1,So. Central Rain Lyrics,2011
http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html,1,Pretty Persuasion Lyrics,2006
http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html,1,That Someone Is You Lyrics,2011
http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,1,King of Birds Lyrics,2008
http://www.metrolyrics.com/catapult-lyrics-rem.html,1,Catapult Lyrics,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,1,Camera Lyrics,2006
http://www.metrolyrics.com/disguised-lyrics-rem.html,1,Disguised Lyrics,2016
http://www.metrolyrics.com/animal-lyrics-rem.html,1,Animal Lyrics,2003
http://www.metrolyrics.com/disappear-lyrics-rem.html,1,Disappear Lyrics,2014
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,1,Green Grow The Rushes Lyrics,2006
http://www.metrolyrics.com/kohoutek-lyrics-rem.html,1,Kohoutek Lyrics,2006
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,1,Arms Of Love Lyrics,2006
http://www.metrolyrics.com/9-dream-lyrics-rem.html,0,#9 Dream Lyrics,2007
http://www.metrolyrics.com/1000000-lyrics-rem.html,0,"1,000,000 Lyrics",2006
http://www.metrolyrics.com/11-lyrics-rem.html,0,11 Lyrics,2007
http://www.metrolyrics.com/11th-untitled-song-lyrics-rem.html,0,11th Untitled Song Lyrics,2006
http://www.metrolyrics.com/7-chinese-brothers-lyrics-rem.html,0,7 Chinese Brothers Lyrics,2007
http://www.metrolyrics.com/99-lyrics-rem.html,0,9-9 Lyrics,2006
http://www.metrolyrics.com/a-girl-like-you-lyrics-rem.html,0,A Girl Like You Lyrics,2006
http://www.metrolyrics.com/a-month-of-saturdays-lyrics-rem.html,0,A Month Of Saturdays Lyrics,2011
http://www.metrolyrics.com/academy-fight-song-lyrics-rem.html,0,Academy Fight Song Lyrics,2006
http://www.metrolyrics.com/accelerate-lyrics-rem.html,0,Accelerate Lyrics,2008
http://www.metrolyrics.com/action-lyrics-rem.html,0,Action Lyrics,2006
http://www.metrolyrics.com/aftermath-lyrics-rem.html,0,Aftermath Lyrics,2004
http://www.metrolyrics.com/ages-of-you-lyrics-rem.html,0,Ages Of You Lyrics,2006
http://www.metrolyrics.com/airportman-lyrics-rem.html,0,Airportman Lyrics,2006
http://www.metrolyrics.com/all-i-have-to-do-is-dream-lyrics-rem.html,0,"All I Have To Do Is, Dream Lyrics",2006
http://www.metrolyrics.com/all-the-best-lyrics-rem.html,0,All The Best Lyrics,2011
http://www.metrolyrics.com/all-the-right-friends-lyrics-rem.html,1,All The Right Friends Lyrics,2003
http://www.metrolyrics.com/all-the-way-to-reno-lyrics-rem.html,0,All the Way to Reno Lyrics,2003
http://www.metrolyrics.com/all-the-way-to-reno-youre-gonna-be-a-star-lyrics-rem.html,0,All The Way To Reno (You're Gonna Be A Star) Lyrics,2006
http://www.metrolyrics.com/alligator-aviator-autopilot-antimatter-lyrics-rem.html,0,Alligator Aviator Autopilot Antimatter Lyrics,2011
http://www.metrolyrics.com/andy-gets-fired-lyrics-rem.html,0,Andy Gets Fired Lyrics,2008
http://www.metrolyrics.com/animal-lyrics-rem.html,1,Animal Lyrics,2003
http://www.metrolyrics.com/arms-of-love-lyrics-rem.html,1,Arms Of Love Lyrics,2006
http://www.metrolyrics.com/around-the-sun-lyrics-rem.html,0,Around The Sun Lyrics,2004
http://www.metrolyrics.com/at-my-most-beautiful-lyrics-rem.html,0,At My Most Beautiful Lyrics,2003
http://www.metrolyrics.com/at-my-most-beautifull-lyrics-rem.html,0,At My Most Beautifull Lyrics,2006
http://www.metrolyrics.com/auctioneer-lyrics-rem.html,0,Auctioneer Lyrics,2006
http://www.metrolyrics.com/auctioneer-another-engine-lyrics-rem.html,0,Auctioneer (another Engine) Lyrics,2006
http://www.metrolyrics.com/aaberlin-lyrics-rem.html,0,ÃœBerlin Lyrics,2011
http://www.metrolyrics.com/baby-baby-lyrics-rem.html,0,Baby Baby Lyrics,2006
http://www.metrolyrics.com/baby-i-lyrics-rem.html,0,"Baby, I Lyrics",2006
http://www.metrolyrics.com/bad-day-lyrics-rem.html,3,Bad Day Lyrics,2003
http://www.metrolyrics.com/bandwagon-lyrics-rem.html,0,Bandwagon Lyrics,2006
http://www.metrolyrics.com/bang-and-blame-lyrics-rem.html,2,Bang And Blame Lyrics,2006
http://www.metrolyrics.com/be-mine-lyrics-rem.html,0,Be Mine Lyrics,2006
http://www.metrolyrics.com/beach-ball-lyrics-rem.html,0,Beach Ball Lyrics,2006
http://www.metrolyrics.com/beat-a-drum-lyrics-rem.html,2,Beat A Drum Lyrics,2014
http://www.metrolyrics.com/begin-the-begin-lyrics-rem.html,2,Begin The Begin Lyrics,2011
http://www.metrolyrics.com/belong-lyrics-rem.html,0,Belong Lyrics,2014
http://www.metrolyrics.com/binky-the-doormat-lyrics-rem.html,0,Binky The Doormat Lyrics,2006
http://www.metrolyrics.com/bittersweet-me-lyrics-rem.html,2,Bittersweet Me Lyrics,2006
http://www.metrolyrics.com/blue-lyrics-rem.html,0,Blue Lyrics,2011
http://www.metrolyrics.com/body-count-lyrics-rem.html,0,Body Count Lyrics,2006
http://www.metrolyrics.com/burning-down-lyrics-rem.html,0,Burning Down Lyrics,2006
http://www.metrolyrics.com/burning-hell-lyrics-rem.html,0,Burning Hell Lyrics,2006
http://www.metrolyrics.com/camera-lyrics-rem.html,1,Camera Lyrics,2006
http://www.metrolyrics.com/cant-get-there-from-here-lyrics-rem.html,0,Can't Get There From Here Lyrics,2006
http://www.metrolyrics.com/carnival-of-sorts-lyrics-rem.html,0,Carnival of Sorts Lyrics,2006
http://www.metrolyrics.com/carnival-of-sorts-box-cars-lyrics-rem.html,0,Carnival Of Sorts (box Cars) Lyrics,2006
http://www.metrolyrics.com/catapult-lyrics-rem.html,1,Catapult Lyrics,2006
http://www.metrolyrics.com/chance-lyrics-rem.html,0,Chance Lyrics,2006
http://www.metrolyrics.com/chorus-and-he-ring-lyrics-rem.html,0,Chorus and he Ring Lyrics,2016
http://www.metrolyrics.com/chorus-and-the-ring-lyrics-rem.html,0,Chorus And The Ring Lyrics,2006
http://www.metrolyrics.com/christmas-griping-lyrics-rem.html,0,Christmas Griping Lyrics,2018
http://www.metrolyrics.com/circus-envy-lyrics-rem.html,0,Circus Envy Lyrics,2006
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,3,Country Feedback Lyrics,2011
http://www.metrolyrics.com/crazy-lyrics-rem.html,2,Crazy Lyrics,2006
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,3,Crush With Eyeliner Lyrics,2006
http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,1,Cuyahoga Lyrics,2014
http://www.metrolyrics.com/dangerous-times-lyrics-rem.html,0,Dangerous Times Lyrics,2006
http://www.metrolyrics.com/dark-globe-lyrics-rem.html,0,Dark Globe Lyrics,2006
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,3,Daysleeper Lyrics,2003
http://www.metrolyrics.com/deck-the-halls-lyrics-rem.html,0,Deck The Halls Lyrics,2016
http://www.metrolyrics.com/departure-lyrics-rem.html,0,Departure Lyrics,2006
http://www.metrolyrics.com/diminished-lyrics-rem.html,0,Diminished Lyrics,2006
http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,0,Diminished/I'm Not Over You Lyrics,2016
http://www.metrolyrics.com/disappear-lyrics-rem.html,1,Disappear Lyrics,2014
http://www.metrolyrics.com/discover-lyrics-rem.html,0,Discover Lyrics,2010
http://www.metrolyrics.com/discoverer-lyrics-rem.html,0,Discoverer Lyrics,2011
http://www.metrolyrics.com/disguised-lyrics-rem.html,1,Disguised Lyrics,2016
http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,1,Disturbance At The Heron House Lyrics,2008
http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,0,Don't Go Back To Rockville Lyrics,2011
http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,0,Draggin' The Line Lyrics,2006
http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,0,Dragging The Line Lyrics,2007
http://www.metrolyrics.com/drive-lyrics-rem.html,4,Drive Lyrics,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,2,Driver 8 Lyrics,2011
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,3,E-bow The Letter Lyrics,2003
http://www.metrolyrics.com/electrolite-lyrics-rem.html,2,Electrolite Lyrics,2003
http://www.metrolyrics.com/electron-blue-lyrics-rem.html,0,Electron Blue Lyrics,2004
http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,0,"Eleventh, Untitled Song Lyrics",2006
http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,0,End of the World As We Know It Lyrics,2007
http://www.metrolyrics.com/endgame-lyrics-rem.html,0,ENDGAME Lyrics,2014
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,5,Everbody Hurts Lyrics,2006
http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,0,Every Day Is Yours to Win Lyrics,2011
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,6,Everybody Hurts Lyrics,2003
http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,0,Exhuming Mccarthy Lyrics,2008
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,6,Fall On Me Lyrics,2011
http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,0,Falls To Climb Lyrics,2006
http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,0,Feeling Gravity's Pull Lyrics,2006
http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,0,Femme Fatale Lyrics,2006
http://www.metrolyrics.com/final-straw-lyrics-rem.html,0,Final Straw Lyrics,2008
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,4,Find The River Lyrics,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,1,Finest Worksong Lyrics,2008
http://www.metrolyrics.com/fireplace-lyrics-rem.html,0,Fireplace Lyrics,2008
http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,0,First We Take Manhattan Lyrics,2006
http://www.metrolyrics.com/fretless-lyrics-rem.html,2,Fretless Lyrics,2014
http://www.metrolyrics.com/funtime-lyrics-rem.html,0,Funtime Lyrics,2006
http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,0,Furry Happy Monsters Lyrics,2007
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,4,Future 40's (string Of Pearls) Lyrics,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,2,Gardening At Night Lyrics,2011
http://www.metrolyrics.com/get-up-lyrics-rem.html,0,Get Up Lyrics,2011
http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,0,Ghost Rider Lyrics,2006
http://www.metrolyrics.com/good-advices-lyrics-rem.html,0,Good Advices Lyrics,2006
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,1,Green Grow The Rushes Lyrics,2006
http://www.metrolyrics.com/hairshirt-lyrics-rem.html,0,Hairshirt Lyrics,2006
http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,0,Half A World Away Lyrics,2014
http://www.metrolyrics.com/hallellujah-lyrics-rem.html,0,Hallellujah Lyrics,2011
http://www.metrolyrics.com/hallelujah-lyrics-rem.html,0,Hallelujah Lyrics,2011
http://www.metrolyrics.com/harborcoat-lyrics-rem.html,0,Harborcoat Lyrics,2006
http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,0,"Hey, Hey, Nadine Lyrics",2006
http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,0,High Speed Train Lyrics,2004
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,2,Hollow Man Lyrics,2008
http://www.metrolyrics.com/hope-lyrics-rem.html,0,Hope Lyrics,2006
